PathId,Host,Universe,ChannelStart,Fixture0,Fixture1,DistanceFt
0,192.168.0.220,1,1,149,150,8.369922
0,192.168.0.220,1,1,150,151,8.288633
0,192.168.0.220,1,1,151,152,8.303294
0,192.168.0.220,1,1,152,157,8.589802
0,192.168.0.220,1,1,157,156,9.166675
0,192.168.0.220,1,1,156,153,8.603144
0,192.168.0.220,1,1,153,154,8.751592
0,192.168.0.220,1,1,154,155,10.11772
0,192.168.0.220,1,1,155,158,10.10296
0,192.168.0.220,1,1,158,159,9.028123
0,192.168.0.220,1,1,159,160,8.724585
0,192.168.0.220,1,1,160,114,13.84489
0,192.168.0.220,1,1,114,113,9.028124
0,192.168.0.220,1,1,113,110,10.10297
0,192.168.0.220,1,1,110,109,10.11771
0,192.168.0.220,1,1,109,108,8.751604
0,192.168.0.220,1,1,108,111,8.603131
0,192.168.0.220,1,1,111,112,9.166675
0,192.168.0.220,1,1,112,107,8.589814
0,192.168.0.220,1,1,107,106,8.303282
0,192.168.0.220,1,1,106,105,8.288657
1,192.168.0.220,2,463,161,162,8.459901
1,192.168.0.220,2,463,162,163,8.36991
1,192.168.0.220,2,463,163,164,8.288632
1,192.168.0.220,2,463,164,165,8.303294
1,192.168.0.220,2,463,165,174,8.589802
1,192.168.0.220,2,463,174,173,9.166675
1,192.168.0.220,2,463,173,166,8.603156
1,192.168.0.220,2,463,166,167,8.751592
1,192.168.0.220,2,463,167,168,8.390656
1,192.168.0.220,2,463,168,169,8.988031
1,192.168.0.220,2,463,169,170,9.028118
1,192.168.0.220,2,463,170,171,8.724574
1,192.168.0.220,2,463,171,172,8.6096
2,192.168.0.220,3,253,133,134,8.45991
2,192.168.0.220,3,253,134,135,8.369922
2,192.168.0.220,3,253,135,136,8.288633
2,192.168.0.220,3,253,136,137,8.303293
2,192.168.0.220,3,253,137,148,8.589802
2,192.168.0.220,3,253,148,147,9.166675
2,192.168.0.220,3,253,147,138,8.603144
2,192.168.0.220,3,253,138,139,8.751592
2,192.168.0.220,3,253,139,140,8.390633
2,192.168.0.220,3,253,140,141,8.988042
2,192.168.0.220,3,253,141,142,9.028135
2,192.168.0.220,3,253,142,143,8.724584
2,192.168.0.220,3,253,143,145,8.609589
2,192.168.0.220,3,253,145,144,8.869822
2,192.168.0.220,3,253,144,146,8.091498
3,192.168.0.220,4,85,117,118,8.45989
3,192.168.0.220,4,85,118,119,8.369922
3,192.168.0.220,4,85,119,120,8.288632
3,192.168.0.220,4,85,120,121,8.303282
3,192.168.0.220,4,85,121,132,8.589814
3,192.168.0.220,4,85,132,131,9.166675
3,192.168.0.220,4,85,131,122,8.603143
3,192.168.0.220,4,85,122,123,8.751592
3,192.168.0.220,4,85,123,124,8.390645
3,192.168.0.220,4,85,124,125,8.98803
3,192.168.0.220,4,85,125,126,9.028136
3,192.168.0.220,4,85,126,127,8.724578
3,192.168.0.220,4,85,127,129,8.609596
3,192.168.0.220,4,85,129,128,8.869822
3,192.168.0.220,4,85,128,130,8.091503
3,192.168.0.220,4,85,130,116,8.68349
3,192.168.0.220,4,85,116,115,8.403872
4,192.168.0.221,1,463,104,103,8.729342
4,192.168.0.221,1,463,103,87,8.839639
4,192.168.0.221,1,463,87,88,8.367006
4,192.168.0.221,1,463,88,89,7.923687
4,192.168.0.221,1,463,89,90,8.340025
4,192.168.0.221,1,463,90,91,8.40056
4,192.168.0.221,1,463,91,102,8.353733
4,192.168.0.221,1,463,102,101,8.416673
4,192.168.0.221,1,463,101,92,8.347524
4,192.168.0.221,1,463,92,93,8.645
4,192.168.0.221,1,463,93,94,8.370746
4,192.168.0.221,1,463,94,95,8.353724
4,192.168.0.221,1,463,95,96,8.461126
4,192.168.0.221,1,463,96,97,8.539539
4,192.168.0.221,1,463,97,99,8.579696
4,192.168.0.221,1,463,99,98,8.322083
4,192.168.0.221,1,463,98,100,8.091504
4,192.168.0.221,1,463,100,86,8.683479
4,192.168.0.221,1,463,86,85,8.403879
5,192.168.0.221,2,379,84,83,8.729378
5,192.168.0.221,2,379,83,67,8.839626
5,192.168.0.221,2,379,67,68,8.367006
5,192.168.0.221,2,379,68,69,7.9237
5,192.168.0.221,2,379,69,70,8.340001
5,192.168.0.221,2,379,70,71,8.400573
5,192.168.0.221,2,379,71,82,8.353733
5,192.168.0.221,2,379,82,81,8.416675
5,192.168.0.221,2,379,81,72,8.347484
5,192.168.0.221,2,379,72,73,8.645012
5,192.168.0.221,2,379,73,74,8.370766
5,192.168.0.221,2,379,74,75,8.353739
5,192.168.0.221,2,379,75,76,8.461112
5,192.168.0.221,2,379,76,77,8.539535
5,192.168.0.221,2,379,77,79,8.579703
5,192.168.0.221,2,379,79,78,8.322079
5,192.168.0.221,2,379,78,80,8.091497
5,192.168.0.221,2,379,80,66,8.683488
5,192.168.0.221,2,379,66,65,8.40388
6,192.168.0.221,3,295,64,63,8.729378
6,192.168.0.221,3,295,63,47,8.839626
6,192.168.0.221,3,295,47,48,8.367006
6,192.168.0.221,3,295,48,49,7.9237
6,192.168.0.221,3,295,49,50,8.340001
6,192.168.0.221,3,295,50,51,8.400569
6,192.168.0.221,3,295,51,62,8.353735
6,192.168.0.221,3,295,62,61,8.416675
6,192.168.0.221,3,295,61,52,8.347486
6,192.168.0.221,3,295,52,53,8.645015
6,192.168.0.221,3,295,53,54,8.370762
6,192.168.0.221,3,295,54,55,8.353739
6,192.168.0.221,3,295,55,56,8.461116
6,192.168.0.221,3,295,56,57,8.539536
6,192.168.0.221,3,295,57,59,8.579708
6,192.168.0.221,3,295,59,58,8.322073
6,192.168.0.221,3,295,58,60,8.091498
6,192.168.0.221,3,295,60,46,8.683488
6,192.168.0.221,3,295,46,45,8.403877
7,192.168.0.221,4,211,44,43,7.668487
